Date,Close/Last,Volume,Open,High,Low
04/24/2020,$145.03,66188050,$142.162,$146.146,$139.636
04/23/2020,$141.126,66183500,$145.52,$146.8,$140.626
04/22/2020,$146.422,71124150,$140.796,$146.8,$137.742
04/21/2020,$137.344,101045450,$146.024,$150.666,$134.758
04/20/2020,$149.272,73731850,$146.54,$153.114,$142.442
04/17/2020,$150.778,65641150,$154.456,$154.99,$149.532
04/16/2020,$149.042,103289300,$143.388,$151.89,$141.343
04/15/2020,$145.966,117885000,$148.4,$150.626,$142
04/14/2020,$141.978,152882550,$139.794,$148.376,$138.486
04/13/2020,$130.19,112377100,$118.032,$130.4,$116.106
04/09/2020,$114.6,68250000,$112.418,$115.0364,$111.422
04/08/2020,$109.768,63280100,$110.84,$111.4416,$106.666
04/07/2020,$109.09,89598900,$109,$113,$106.468
04/06/2020,$103.248,74509200,$102.24,$104.2,$99.592
04/03/2020,$96.002,112810400,$101.9,$103.098,$93.678
04/02/2020,$90.894,99292150,$96.206,$98.852,$89.28
04/01/2020,$96.312,66765900,$100.8,$102.791,$95.02
03/31/2020,$104.8,88857450,$100.25,$108.592,$99.4
03/30/2020,$100.426,59990350,$102.052,$103.3294,$98.246
03/27/2020,$102.872,71887050,$101,$105.16,$98.806
03/26/2020,$105.632,87110400,$109.478,$112,$102.45
03/25/2020,$107.85,106113750,$109.05,$111.4,$102.222
03/24/2020,$101,114475850,$95.46,$102.738,$94.8
03/23/2020,$86.858,82272750,$86.72,$88.4,$82.1
03/20/2020,$85.506,141427500,$87.64,$95.4,$85.158
03/19/2020,$85.528,150977300,$74.9394,$90.4,$71.692
03/18/2020,$72.244,118930800,$77.8,$80.972,$70.102
03/17/2020,$86.04,119972900,$88.002,$94.37,$79.2
03/16/2020,$89.014,102447300,$93.8999,$98.974,$88.434
03/13/2020,$109.324,113201250,$119,$121.514,$100.4
03/12/2020,$112.11,94545250,$116.178,$118.9,$109.25
03/11/2020,$126.846,67067950,$128.04,$130.716,$122.6
03/10/2020,$129.066,77972200,$131.886,$133.6,$121.6
03/09/2020,$121.6,85368700,$121.078,$132.5996,$121
03/06/2020,$140.696,63314600,$138.0008,$141.4,$136.854
03/05/2020,$144.908,54263300,$144.754,$149.15,$143.614
03/04/2020,$149.9,75244900,$152.7921,$153.304,$144.9469
03/03/2020,$149.102,128920000,$161,$161.396,$143.2221
03/02/2020,$148.724,100974950,$142.252,$148.738,$137.334
02/28/2020,$133.598,122820850,$125.94,$138.104,$122.304
02/27/2020,$135.8,121385800,$146,$147.954,$133.8
